U_gain	E_gain	170c	150c	16_RANGE2c	26_RANGE2c	16c	26c	30c	60c	90c	120c	150_BOOSTc	170_BOOSTc	26_RANGE2f	170f	150f	16_RANGE2f	16f	26f	30f	60f	90f	120f	150_BOOSTf	170_BOOSTf
-0.0	0.25	0.17	0.09	0	0	0	0	0	0	0	0	0	0	0.31	0.16	0.27	0	0	0	0	0	0	0	0	0
-0.0	0.3	0.05	0.2	0	0	0	0	0	0	0	0	0	0	0.02	0.3	0.14	0.28	0.02	0	0	0	0	0	0	0
-0.0	0.39	0.17	0.08	0	0	0	0	0	0	0	0	0	0	0.42	0.23	0.09	0	0	0	0	0	0	0	0	0
-0.0	0.28	0.09	0.11	0	0	0	0	0	0	0	0	0	0	0.38	0.23	0.19	0	0	0	0	0	0	0	0	0
-0.0	0.37	0.17	0.06	0	0	0	0	0	0	0	0	0	0	0.45	0.27	0.05	0	0	0	0	0	0	0	0	0
-0.0	0.29	0.09	0.2	0	0	0	0	0	0	0	0	0	0	0.27	0.2	0.23	0	0	0	0	0	0	0	0	0
-0.0	0.23	0.17	0.09	0	0	0	0	0	0	0	0	0	0	0.33	0.27	0.14	0	0	0	0	0	0	0	0	0
-0.0	0.29	0.08	0.16	0	0	0	0	0	0	0	0	0	0	0.27	0.34	0.12	0.02	0.02	0	0	0	0	0	0	0
-0.0	0.22	0.17	0.03	0	0	0	0	0	0	0	0	0	0	0.08	0.39	0.31	0.02	0	0	0	0	0	0	0	0
-0.0	0.2	0.16	0	0	0	0	0	0	0	0	0	0	0	0.44	0.2	0.17	0.03	0	0	0	0	0	0	0	0
-0.0	0.24	0.17	0.06	0	0	0	0	0	0	0	0	0	0	0.38	0.12	0.27	0	0	0	0	0	0	0	0	0
-0.0	0.32	0.08	0.14	0	0	0	0	0	0	0	0	0	0	0.44	0.27	0.08	0	0	0	0	0	0	0	0	0
-0.0	0.29	0.22	0.02	0	0	0	0	0	0	0	0	0	0	0.33	0.11	0.31	0.02	0	0	0	0	0	0	0	0
-0.0	0.25	0.16	0.06	0	0	0	0	0	0	0	0	0	0	0.41	0.23	0.14	0	0	0	0	0	0	0	0	0
-0.0	0.28	0.05	0.14	0	0	0	0	0	0	0	0	0	0	0.17	0.22	0.41	0.02	0	0	0	0	0	0	0	0
-0.0	0.22	0.19	0.03	0	0	0	0	0	0	0	0	0	0	0.41	0.17	0.2	0	0	0	0	0	0	0	0	0
-0.03	0.42	0.14	0.08	0	0	0	0	0	0	0	0	0	0	0.48	0.12	0.16	0.02	0	0	0	0	0	0	0	0
-0.0	0.41	0.03	0.23	0	0	0	0	0	0	0	0	0	0	0.28	0.31	0.14	0	0	0	0	0	0	0	0	0
-0.0	0.35	0.09	0.16	0	0	0	0	0	0	0	0	0	0	0.33	0.17	0.25	0	0	0	0	0	0	0	0	0
-0.0	0.25	0.02	0.16	0	0	0	0	0	0	0	0	0	0	0.25	0.48	0.09	0	0	0	0	0	0	0	0	0
